{'fov': 46, 'n_nuclei': 141, 'n_foci': 113114}
{'fov': 178, 'n_nuclei': 207, 'n_foci': 150965}
{'fov': 144, 'n_nuclei': 194, 'n_foci': 147185}
{'fov': 78, 'n_nuclei': 201, 'n_foci': 162905}
{'fov': 143, 'n_nuclei': 152, 'n_foci': 114161}
{'fov': 77, 'n_nuclei': 177, 'n_foci': 138172}
{'fov': 114, 'n_nuclei': 188, 'n_foci': 143418}
{'fov': 159, 'n_nuclei': 189, 'n_foci': 145108}
{'fov': 60, 'n_nuclei': 217, 'n_foci': 170658}
{'fov': 41, 'n_nuclei': 174, 'n_foci': 136350}
{'fov': 196, 'n_nuclei': 205, 'n_foci': 149582}
{'fov': 2, 'n_nuclei': 194, 'n_foci': 154338}
{'fov': 133, 'n_nuclei': 154, 'n_foci': 117455}
{'fov': 67, 'n_nuclei': 159, 'n_foci': 125750}
{'fov': 147, 'n_nuclei': 242, 'n_foci': 180624}
{'fov': 49, 'n_nuclei': 240, 'n_foci': 192532}
{'fov': 197, 'n_nuclei': 147, 'n_foci': 104573}
{'fov': 3, 'n_nuclei': 191, 'n_foci': 144923}
{'fov': 181, 'n_nuclei': 168, 'n_foci': 117178}
{'fov': 33, 'n_nuclei': 173, 'n_foci': 130908}
{'fov': 75, 'n_nuclei': 229, 'n_foci': 178924}
{'fov': 142, 'n_nuclei': 155, 'n_foci': 120485}
{'fov': 115, 'n_nuclei': 176, 'n_foci': 137409}
{'fov': 17, 'n_nuclei': 180, 'n_foci': 143461}
{'fov': 164, 'n_nuclei': 157, 'n_foci': 122096}
{'fov': 98, 'n_nuclei': 175, 'n_foci': 138290}
{'fov': 32, 'n_nuclei': 185, 'n_foci': 141027}
{'fov': 132, 'n_nuclei': 183, 'n_foci': 142764}
{'fov': 141, 'n_nuclei': 124, 'n_foci': 95673}
{'fov': 107, 'n_nuclei': 137, 'n_foci': 109748}
{'fov': 100, 'n_nuclei': 130, 'n_foci': 103031}
{'fov': 4, 'n_nuclei': 156, 'n_foci': 120768}
{'fov': 66, 'n_nuclei': 229, 'n_foci': 171490}
{'fov': 140, 'n_nuclei': 143, 'n_foci': 109992}
{'fov': 76, 'n_nuclei': 156, 'n_foci': 118969}
{'fov': 10, 'n_nuclei': 197, 'n_foci': 153147}
{'fov': 44, 'n_nuclei': 84, 'n_foci': 65238}
{'fov': 40, 'n_nuclei': 141, 'n_foci': 109080}
{'fov': 176, 'n_nuclei': 166, 'n_foci': 118543}
{'fov': 192, 'n_nuclei': 222, 'n_foci': 152023}
{'fov': 28, 'n_nuclei': 125, 'n_foci': 100048}
{'fov': 94, 'n_nuclei': 233, 'n_foci': 178104}
{'fov': 5, 'n_nuclei': 197, 'n_foci': 156104}
{'fov': 69, 'n_nuclei': 216, 'n_foci': 166877}
{'fov': 168, 'n_nuclei': 235, 'n_foci': 183887}
{'fov': 63, 'n_nuclei': 135, 'n_foci': 112593}
{'fov': 129, 'n_nuclei': 98, 'n_foci': 81589}
{'fov': 104, 'n_nuclei': 180, 'n_foci': 137473}
{'fov': 1, 'n_nuclei': 158, 'n_foci': 122527}
{'fov': 167, 'n_nuclei': 189, 'n_foci': 150655}
{'fov': 101, 'n_nuclei': 243, 'n_foci': 186325}
{'fov': 195, 'n_nuclei': 174, 'n_foci': 117219}
