condition,feature,cliffs_delta,p,median_cond,median_ctrl,padj
eed226,DAPI_foci_vol_mean_um3,0.010772154132634437,0.35648787,1.4560833,1.4588714,0.4221566884141219
eed226,DAPI_foci_vol_median_um3,-0.009391832890847773,0.42143813,0.9127,0.9185,0.4862747627955217
eed226,DAPI_foci_vol_cv,0.04487629973410723,0.00012236707,0.9052629,0.88428384,0.00021178915910870553
eed226,DAPI_condensed_fraction,0.21852388741011408,0.0,0.029240059,0.02440473,0.0
eed226,DAPI_partition_coefficient,0.12312904163206273,5.672338e-26,0.8651591,0.8270206,2.552552205911418e-25
eed226,DAPI_mean_foci_intensity,0.10040805726550084,8.343558e-18,131.07948,124.30377,2.8881547800247954e-17
eed226,DAPI_foci_local_dapi,0.11551815394999165,4.6857517e-23,242.81172,233.73764,1.916898437241273e-22
eed226,Pol2_n_foci,-0.008107994000030705,0.48671705,6.0,6.0,0.5348739536797128
eed226,Pol2_density_per_um3,0.03599458322563298,0.002058722,0.009467456,0.008932066,0.003308660483786038
eed226,Pol2_foci_vol_mean_um3,0.0016353615127744359,0.8886574,0.0671,0.06752853,0.9088541499593041
eed226,Pol2_foci_vol_median_um3,0.000988764895448524,0.9325241,0.05105,0.051,0.9325240850448608
eed226,Pol2_foci_vol_cv,-0.00809967902773312,0.4873296,0.62491375,0.62764144,0.5348739536797128
eed226,Pol2_condensed_fraction,0.028686331862873393,0.014051698,0.00093308906,0.00087071443,0.020397626344234712
eed226,Pol2_partition_coefficient,0.015640068647264416,0.18057203,1.3280512,1.3257375,0.2196146346427299
eed226,Pol2_mean_foci_intensity,-0.016463143383525614,0.15869945,235.35237,237.31389,0.20404215369905745
eed226,Pol2_foci_local_dapi,0.022688620487317568,0.052081835,145.93333,145.40329,0.07324007980059832
eed226,coloc_Brd4_Pol2_frac,0.04870054186380668,2.9718416e-05,0.0048154094,0.004322144,5.7655461205285974e-05
eed226,coloc_Brd4_Pol2_nn_um,-0.07008378338120891,1.9717619e-09,2.5911412,2.7202487,4.436464196011514e-09
eed226,coloc_Brd4_Pol2_enrich,0.03143686735425755,0.007030005,1.7991153,1.7491422,0.010545007651671767
eed226,coloc_Pol2_Sc35_frac,-0.027540586024911384,0.0032289925,0.0,0.0,0.0050105055360573116
eed226,coloc_Pol2_Sc35_nn_um,-0.0023784404810699433,0.83865213,0.86524105,0.86177367,0.8776592099389364
eed226,coloc_Pol2_Sc35_enrich,-0.031583418741001346,0.0007322096,0.0,0.0,0.0012203493194344144
eed226,coloc_Brd4_Sc35_frac,0.08254419945382097,1.5987798e-12,0.025157232,0.024163568,4.496568217868691e-12
eed226,coloc_Brd4_Sc35_nn_um,-0.05776450679526779,7.632741e-07,1.3314373,1.3406518,1.5612424807510583e-06
eed226,coloc_Brd4_Sc35_enrich,0.015917616688092107,0.17303151,1.7394445,1.7261748,0.21628938615322113
tsa,Brd4_n_foci,-0.18327425950971388,0.0,622.5,703.0,0.0
tsa,Brd4_density_per_um3,-0.2676701963415765,0.0,1.053825,1.1175786,0.0
tsa,Brd4_foci_vol_mean_um3,-0.13304002860638597,5.7968552e-33,0.36832136,0.37541276,1.3042924311388705e-32
tsa,Brd4_foci_vol_median_um3,-0.01800638832970547,0.105459735,0.3003,0.3003,0.11036483874154646
tsa,Brd4_foci_vol_cv,0.030578809403010387,0.005980895,0.79911363,0.7983599,0.006901032577913541
tsa,Brd4_condensed_fraction,-0.8621204929939648,0.0,0.44282424,0.5371541,0.0
tsa,Brd4_partition_coefficient,-0.8404034700617408,0.0,1.2452248,1.6102333,0.0
tsa,Brd4_mean_foci_intensity,-0.9029114052589527,0.0,311.8048,553.60974,0.0
tsa,Brd4_foci_local_dapi,-0.06368491712430435,1.0352535e-08,153.68365,155.32257,1.259092073845246e-08
tsa,Sc35_n_foci,0.02284363495513886,0.039915558,33.0,33.0,0.04380975872641656
tsa,Sc35_density_per_um3,0.1297981285829275,1.8576089e-31,0.054963447,0.0528489,3.7996546084233925e-31
tsa,Sc35_foci_vol_mean_um3,0.2260881511139281,0.0,0.34893435,0.3154558,0.0
tsa,Sc35_foci_vol_median_um3,-0.006459777477232143,0.56144106,0.2333,0.23475,0.5614410638809204
tsa,Sc35_foci_vol_cv,0.35800383046847917,0.0,0.92050385,0.82463044,0.0
tsa,Sc35_condensed_fraction,0.2712279544103082,0.0,0.055980846,0.046821594,0.0
tsa,Sc35_partition_coefficient,0.11787797452107363,3.0951676e-26,3.0564847,2.922511,5.803439175568062e-26
tsa,Sc35_mean_foci_intensity,0.06680090788575099,1.9138913e-09,831.21704,793.947,2.3923640846135186e-09
tsa,Sc35_foci_local_dapi,0.08831601724516736,2.0377995e-15,142.87656,141.27505,2.8656555297200452e-15
tsa,DAPI_n_foci,-0.1320016026618619,1.2418964e-32,11.0,12.0,2.661206593704656e-32
tsa,DAPI_density_per_um3,-0.10175588556056958,5.8440336e-20,0.017448988,0.018416092,9.392196877435535e-20
tsa,DAPI_foci_vol_mean_um3,-0.12064162392819044,2.1090343e-27,1.313125,1.4588714,4.1263713923007765e-27
tsa,DAPI_foci_vol_median_um3,-0.14288577953145631,9.2353965e-38,0.8296,0.9185,2.444663789454803e-37
tsa,DAPI_foci_vol_cv,-0.011959148116903351,0.28235185,0.8828198,0.88428384,0.2887689389965751
tsa,DAPI_condensed_fraction,-0.26718227470363276,0.0,0.019068561,0.02440473,0.0
tsa,DAPI_partition_coefficient,-0.233054014391472,0.0,0.7557881,0.8270206,0.0
tsa,DAPI_mean_foci_intensity,-0.16827633381986007,0.0,113.67209,124.30377,0.0
tsa,DAPI_foci_local_dapi,-0.1881852786717273,0.0,219.1215,233.73764,0.0
tsa,Pol2_n_foci,-0.09773106674343968,1.2838656e-18,5.0,6.0,1.8636758436447323e-18
tsa,Pol2_density_per_um3,-0.0868616133842971,5.7355498e-15,0.008015169,0.008932066,7.821204233354766e-15
tsa,Pol2_foci_vol_mean_um3,0.19678325083207993,0.0,0.08239417,0.06752853,0.0
tsa,Pol2_foci_vol_median_um3,0.2141258413168856,0.0,0.06415,0.051,0.0
tsa,Pol2_foci_vol_cv,0.01840348915580914,0.09743078,0.64800715,0.62764144,0.10439012199640274
tsa,Pol2_condensed_fraction,0.10521994010909896,3.0733142e-21,0.0011046736,0.00087071443,5.531965630543182e-21
tsa,Pol2_partition_coefficient,0.5005751158166831,0.0,1.5356349,1.3257375,0.0
tsa,Pol2_mean_foci_intensity,0.582317256127832,0.0,316.0824,237.31389,0.0
tsa,Pol2_foci_local_dapi,0.09918860128758489,4.750656e-19,147.91711,145.40329,7.371707491856337e-19
tsa,coloc_Brd4_Pol2_frac,-0.09890866860781433,5.1267574e-19,0.0036630037,0.004322144,7.690136079204226e-19
tsa,coloc_Brd4_Pol2_nn_um,0.02930731803724873,0.008414154,2.765122,2.7202487,0.009465923183597624
tsa,coloc_Brd4_Pol2_enrich,-0.04321840068083993,9.9001e-05,1.6597574,1.7491422,0.00011723802775745036
tsa,coloc_Pol2_Sc35_frac,-0.07959557647471915,4.6085205e-20,0.0,0.0,7.680867434275922e-20
tsa,coloc_Pol2_Sc35_nn_um,0.13607676038630534,2.0324352e-34,0.93874633,0.86177367,5.0810881067537615e-34
tsa,coloc_Pol2_Sc35_enrich,-0.08191187913901121,3.7511562e-21,0.0,0.0,6.492385795650219e-21
tsa,coloc_Brd4_Sc35_frac,0.13558700993337913,3.5850502e-34,0.025833063,0.024163568,8.490908420021037e-34
tsa,coloc_Brd4_Sc35_nn_um,-0.08044436360462281,4.7801314e-13,1.3250583,1.3406518,6.326644458780176e-13
tsa,coloc_Brd4_Sc35_enrich,0.0674169085661942,1.358382e-09,1.7727578,1.7261748,1.7464910946023743e-09
