condition,feature,cliffs_delta,p,median_cond,median_ctrl,padj
jq1,Brd4_foci_vol_median_um3,-0.08306698353419628,8.790055e-14,0.2945,0.3003,2.47220304530572e-13
jq1,Brd4_foci_vol_cv,0.04555736629831619,4.3258686e-05,0.8011174,0.7983599,6.952288783525416e-05
jq1,Brd4_condensed_fraction,-0.07325846148634829,4.8358175e-11,0.53243905,0.5371541,1.0362466093538636e-10
jq1,Brd4_partition_coefficient,0.005410465744458026,0.62720877,1.6098132,1.6102333,0.6414635140787471
jq1,Brd4_mean_foci_intensity,-0.12194941526956782,6.9039644e-28,533.52454,553.60974,3.1067839656517586e-27
jq1,Brd4_foci_local_dapi,0.023879076755318307,0.03207675,155.61569,155.32257,0.04009593743830919
jq1,Sc35_n_foci,0.03891175979040207,0.00047477515,34.0,33.0,0.0006891897365060304
jq1,Sc35_density_per_um3,0.0445661589862032,6.3237014e-05,0.053760454,0.0528489,9.48555207287427e-05
jq1,Sc35_foci_vol_mean_um3,0.004365770535803115,0.6951457,0.31643182,0.3154558,0.6951457262039185
jq1,Sc35_foci_vol_median_um3,-0.012760101242189514,0.25203928,0.2333,0.23475,0.2766284819056348
jq1,Sc35_foci_vol_cv,0.02178482946265281,0.050527286,0.83131486,0.82463044,0.059834943692150866
jq1,Sc35_condensed_fraction,0.0668306360240174,1.986488e-09,0.049166456,0.046821594,3.886607123094598e-09
jq1,Sc35_partition_coefficient,0.07269783485478065,6.773957e-11,3.0044305,2.922511,1.385582131984243e-10
jq1,Sc35_mean_foci_intensity,-0.005848643076200366,0.5995931,794.17706,793.947,0.627481154231138
jq1,Sc35_foci_local_dapi,0.007213549586331247,0.51730597,141.23154,141.27505,0.5542563966342381
jq1,DAPI_n_foci,0.1025962925353312,2.605468e-20,13.0,12.0,8.374718679761995e-20
jq1,DAPI_density_per_um3,0.10677049669894378,9.332604e-22,0.019602003,0.018416092,3.2305166539165576e-21
jq1,DAPI_foci_vol_mean_um3,0.04466460411359918,6.0918257e-05,1.5312324,1.4588714,9.452832994705611e-05
jq1,DAPI_foci_vol_median_um3,0.02763658592049123,0.0131110735,0.941175,0.9185,0.018437447142787278
jq1,DAPI_foci_vol_cv,0.06400645640630587,9.170474e-09,0.9220383,0.88428384,1.7194639045925442e-08
jq1,DAPI_condensed_fraction,0.12511759242447007,2.874763e-29,0.026782941,0.02440473,1.4373815523436793e-28
jq1,DAPI_partition_coefficient,0.023254376729639148,0.03685473,0.8334582,0.8270206,0.04482331912259798
jq1,DAPI_mean_foci_intensity,0.014114484522383508,0.20517454,124.744156,124.30377,0.23082135245203972
jq1,DAPI_foci_local_dapi,0.026615645813734545,0.016890042,235.21959,233.73764,0.023031874813816765
jq1,Pol2_n_foci,0.18969298819131697,0.0,8.0,6.0,0.0
jq1,Pol2_density_per_um3,0.20951153034662906,0.0,0.012503484,0.008932066,0.0
jq1,Pol2_foci_vol_mean_um3,0.18454572773054156,0.0,0.07997857,0.06752853,0.0
jq1,Pol2_foci_vol_median_um3,0.146279714425692,2.075822e-39,0.0569,0.051,1.334456927947513e-38
jq1,Pol2_foci_vol_cv,0.14552531092097065,4.387261e-39,0.7183527,0.62764144,2.467834257501681e-38
jq1,Pol2_condensed_fraction,0.23830218457272068,0.0,0.0014602513,0.00087071443,0.0
jq1,Pol2_partition_coefficient,0.11143141581403593,1.4711822e-23,1.3577812,1.3257375,5.51693325332775e-23
jq1,Pol2_mean_foci_intensity,0.06296898424305097,1.577699e-08,241.06613,237.31389,2.839858268544049e-08
jq1,Pol2_foci_local_dapi,0.0768728796314353,5.1608956e-12,147.20038,145.40329,1.2902238956044587e-11
jq1,coloc_Brd4_Pol2_frac,0.1793694194190829,0.0,0.0061728396,0.004322144,0.0
jq1,coloc_Brd4_Pol2_nn_um,-0.19206146213866404,0.0,2.4054055,2.7202487,0.0
jq1,coloc_Brd4_Pol2_enrich,0.025733624795668764,0.0207402,1.7865989,1.7491422,0.026665971215282167
jq1,coloc_Pol2_Sc35_frac,0.06341612811391095,7.081753e-12,0.0,0.0,1.6772573256260867e-11
jq1,coloc_Pol2_Sc35_nn_um,0.05431854676311665,1.080825e-06,0.8853686,0.86177367,1.801374954387332e-06
jq1,coloc_Pol2_Sc35_enrich,0.061252359009267066,3.5490607e-11,0.0,0.0,7.985386570735775e-11
jq1,coloc_Brd4_Sc35_frac,0.0943624255185711,2.4488068e-17,0.02534113,0.024163568,7.346420479985361e-17
jq1,coloc_Brd4_Sc35_nn_um,-0.1159781983582765,2.219599e-25,1.3174276,1.3406518,9.080177510678845e-25
jq1,coloc_Brd4_Sc35_enrich,0.081361940080106,2.8083517e-13,1.7850428,1.7261748,7.433872135741598e-13
sgc_cbp30,Brd4_n_foci,0.0036861941764609885,0.7575172,701.0,703.0,0.7786945321343162
sgc_cbp30,Brd4_density_per_um3,0.14312054870814794,4.1313943e-33,1.1442474,1.1175786,1.8591274269494707e-32
sgc_cbp30,Brd4_foci_vol_mean_um3,-0.18754488962131355,0.0,0.3653858,0.37541276,0.0
sgc_cbp30,Brd4_foci_vol_median_um3,-0.15994937877418047,6.0502e-41,0.2916,0.3003,3.025123124784415e-40
sgc_cbp30,Brd4_foci_vol_cv,-0.05081672980014729,2.0782452e-05,0.7913572,0.7983599,4.066131979292866e-05
sgc_cbp30,Brd4_condensed_fraction,0.010766528192627689,0.3671715,0.53693396,0.5371541,0.40299310553364637
sgc_cbp30,Brd4_partition_coefficient,0.0288207199887085,0.01578005,1.6143738,1.6102333,0.024486284959932852
sgc_cbp30,Brd4_mean_foci_intensity,-0.017006404901141692,0.15432541,549.7256,553.60974,0.18769306709637512
sgc_cbp30,Brd4_foci_local_dapi,-0.01829169575384426,0.12550236,154.68742,155.32257,0.15687795355916023
sgc_cbp30,Sc35_n_foci,-0.10002021797263327,5.2069597e-17,31.0,33.0,1.464457410268861e-16
sgc_cbp30,Sc35_density_per_um3,-0.0721416555086346,1.5178516e-09,0.051446944,0.0528489,3.415166149878246e-09
sgc_cbp30,Sc35_foci_vol_mean_um3,0.184755229016224,0.0,0.34166285,0.3154558,0.0
sgc_cbp30,Sc35_foci_vol_median_um3,0.142222374810695,1.0179305e-32,0.2537,0.23475,4.164261137553652e-32
sgc_cbp30,Sc35_foci_vol_cv,0.034852008255036315,0.0035099979,0.8338191,0.82463044,0.005641067982651293
sgc_cbp30,Sc35_condensed_fraction,0.2094856624056336,0.0,0.05409027,0.046821594,0.0
sgc_cbp30,Sc35_partition_coefficient,0.2327336606356072,0.0,3.19296,2.922511,0.0
sgc_cbp30,Sc35_mean_foci_intensity,0.2289896735751098,0.0,916.3542,793.947,0.0
sgc_cbp30,Sc35_foci_local_dapi,-0.03526197533407338,0.0031421273,140.71172,141.27505,0.005236878835906585
sgc_cbp30,DAPI_n_foci,0.12267033641943526,6.904828e-25,13.0,12.0,2.5893105048299928e-24
sgc_cbp30,DAPI_density_per_um3,0.1665019092632647,3.4e-44,0.020373514,0.018416092,1.891752926838503e-43
sgc_cbp30,DAPI_foci_vol_mean_um3,-0.020280762789775086,0.08938034,1.4152334,1.4588714,0.11491757844175611
sgc_cbp30,DAPI_foci_vol_median_um3,-0.016816127075680032,0.1589883,0.8996,0.9185,0.18827561485139946
sgc_cbp30,DAPI_foci_vol_cv,0.004390771449170883,0.7130501,0.88437414,0.88428384,0.7639822789600917
sgc_cbp30,DAPI_condensed_fraction,0.11628599657438876,2.0375358e-22,0.026791215,0.02440473,7.053008648080269e-22
sgc_cbp30,DAPI_partition_coefficient,0.04947910110130738,3.408831e-05,0.84140813,0.8270206,6.391557917595492e-05
sgc_cbp30,DAPI_mean_foci_intensity,0.02288178589548462,0.055297364,125.68305,124.30377,0.07776191749144346
sgc_cbp30,DAPI_foci_local_dapi,0.04225285435811754,0.00040161534,236.80809,233.73764,0.0006951034727255598
sgc_cbp30,Pol2_n_foci,-0.08471464048248478,1.1438592e-12,5.0,6.0,2.709140220957149e-12
sgc_cbp30,Pol2_density_per_um3,-0.07056137299107734,3.3907699e-09,0.0080655245,0.008932066,7.265935472336846e-09
sgc_cbp30,Pol2_foci_vol_mean_um3,-0.10446229729575074,2.1029855e-18,0.060814288,0.06752853,6.3089565763690015e-18
sgc_cbp30,Pol2_foci_vol_median_um3,-0.09682905894874172,4.8904686e-16,0.0467,0.051,1.2945358057609162e-15
sgc_cbp30,Pol2_foci_vol_cv,-0.09241219487073848,8.618976e-15,0.5637556,0.62764144,2.154744032872402e-14
sgc_cbp30,Pol2_condensed_fraction,-0.11513166477838432,5.1378816e-22,0.00069145625,0.00087071443,1.6514619494138679e-21
sgc_cbp30,Pol2_partition_coefficient,-0.23494451501661306,0.0,1.2357522,1.3257375,0.0
sgc_cbp30,Pol2_mean_foci_intensity,-0.2893758749995231,0.0,208.6553,237.31389,0.0
sgc_cbp30,Pol2_foci_local_dapi,-0.011786467691298208,0.32342732,145.37036,145.40329,0.37318536868462193
sgc_cbp30,coloc_Brd4_Pol2_frac,-0.06869891624037261,8.070249e-09,0.0038363172,0.004322144,1.650732823160245e-08
sgc_cbp30,coloc_Brd4_Pol2_nn_um,-0.011242718668818208,0.34624812,2.7052927,2.7202487,0.38952913507819176
sgc_cbp30,coloc_Brd4_Pol2_enrich,-0.04429509847678559,0.00020049809,1.6894667,1.7491422,0.00036089656641706823
sgc_cbp30,coloc_Pol2_Sc35_frac,-0.017092693682455806,0.07441707,0.0,0.0,0.10147782211953943
sgc_cbp30,coloc_Pol2_Sc35_nn_um,0.003219273449987181,0.7873932,0.8726501,0.86177367,0.7873932123184204
sgc_cbp30,coloc_Pol2_Sc35_enrich,-0.016626688486818253,0.08268335,0.0,0.0,0.1094338418368031
sgc_cbp30,coloc_Brd4_Sc35_frac,-0.02354749125477318,0.048576,0.023809524,0.024163568,0.07051354995177637
sgc_cbp30,coloc_Brd4_Sc35_nn_um,-0.0036254639643248376,0.7613902,1.3433346,1.3406518,0.7786945321343162
sgc_cbp30,coloc_Brd4_Sc35_enrich,0.02513101627737524,0.035298467,1.7419727,1.7261748,0.05294770002365112
drb,Brd4_n_foci,0.025653931316573564,0.02564707,702.0,703.0,0.026051392778754234
drb,Brd4_density_per_um3,0.2312167914950114,0.0,1.1615305,1.1175786,0.0
drb,Brd4_foci_vol_mean_um3,0.04005299818519781,0.00049395754,0.37855297,0.37541276,0.0005169323141968181
drb,Brd4_foci_vol_median_um3,-0.08993256082158674,5.0966273e-15,0.2945,0.3003,6.552806545669825e-15
drb,Brd4_foci_vol_cv,0.14527424413226075,1.324724e-36,0.8128223,0.7983599,2.0556061802900145e-36
drb,Brd4_condensed_fraction,0.5610963650746557,0.0,0.58360445,0.5371541,0.0
drb,Brd4_partition_coefficient,0.5147441897812155,0.0,1.7671912,1.6102333,0.0
drb,Brd4_mean_foci_intensity,0.6450962110483378,0.0,696.10767,553.60974,0.0
drb,Brd4_foci_local_dapi,0.09096023508300943,2.5287879e-15,157.63676,155.32257,3.346925099756387e-15
drb,Sc35_n_foci,-0.7098952607360516,0.0,20.0,33.0,0.0
drb,Sc35_density_per_um3,-0.7487257947162954,0.0,0.03274344,0.0528489,0.0
drb,Sc35_foci_vol_mean_um3,0.8725216091673837,0.0,0.587513,0.3154558,0.0
drb,Sc35_foci_vol_median_um3,0.23528245020579486,0.0,0.2712,0.23475,0.0
drb,Sc35_foci_vol_cv,0.7435137274245773,0.0,1.1693238,0.82463044,0.0
drb,Sc35_condensed_fraction,0.5593480090593739,0.0,0.06680679,0.046821594,0.0
drb,Sc35_partition_coefficient,0.5605864093797923,0.0,3.654609,2.922511,0.0
drb,Sc35_mean_foci_intensity,0.16145302628200575,8e-45,873.0274,793.947,1.3512520905989307e-44
drb,Sc35_foci_local_dapi,-0.05152036697112172,7.41167e-06,140.27435,141.27505,8.551927084436802e-06
drb,DAPI_n_foci,0.05594787125643208,1.0609783e-06,12.0,12.0,1.2564216951049228e-06
drb,DAPI_density_per_um3,0.11553687131511525,9.1861906e-24,0.019851116,0.018416092,1.3334792774501696e-23
drb,DAPI_foci_vol_mean_um3,0.049070411503331135,1.9687735e-05,1.5194615,1.4588714,2.1608490076288013e-05
drb,DAPI_foci_vol_median_um3,0.025584202261998312,0.026051393,0.94185,0.9185,0.026051392778754234
drb,DAPI_foci_vol_cv,0.051048986251030826,8.974721e-06,0.9058601,0.88428384,1.0096561027239659e-05
drb,DAPI_condensed_fraction,0.16561908935974978,0.0,0.027755879,0.02440473,0.0
drb,DAPI_partition_coefficient,0.09509278444153635,1.320909e-16,0.85432714,0.8270206,1.8575282400005628e-16
drb,DAPI_mean_foci_intensity,0.09315042502919457,5.374751e-16,130.26526,124.30377,7.32920620473329e-16
drb,DAPI_foci_local_dapi,0.08109789986620508,1.7344342e-12,239.94238,233.73764,2.1094470131803637e-12
drb,Pol2_n_foci,0.40374257961799564,0.0,11.0,6.0,0.0
drb,Pol2_density_per_um3,0.4672726562659233,0.0,0.018709773,0.008932066,0.0
drb,Pol2_foci_vol_mean_um3,0.3775492142127168,0.0,0.096238464,0.06752853,0.0
drb,Pol2_foci_vol_median_um3,0.28563151269027753,0.0,0.0642,0.051,0.0
